"countries","rank","gdp billinors"
"Brazil","12","477.1"
"Brazil","12","440.8"
"Brazil","12","419.9"
"Brazil","12","416.3"
"Brazil","12","404.1"
"Brazil","12","397.1"
"Brazil","12","397.0"
"Brazil","12","394.1"
"Brazil","12","372.7"
"Brazil","12","368.1"
"Brazil","12","362.6"
"Brazil","12","358.9"
"Brazil","12","346.3"
"Brazil","12","317.1"
"Brazil","12","314.3"
"Brazil","12","299.2"
"Brazil","12","284.1"
"Brazil","12","282.3"
"Brazil","12","250.0"
"Brazil","12","249.9"
"Brazil","12","231.5"
"Australia","13","22,996.1"
"Australia","13","17,734.1"
"Australia","13","4,937.4"
"Australia","13","4,223.1"
"Australia","13","3,186.9"
"Australia","13","3,173.4"
"Australia","13","2,937.5"
"Australia","13","2,099.9"
"Australia","13","1,990.8"
"Australia","13","1,798.5"
"Australia","13","1,775.8"
"Australia","13","1,609.0"
"Australia","13","1,542.7"
"Australia","13","1,425.3"
"Australia","13","1,293.0"
"Australia","13","1,186.1"
"Australia","13","1,018.0"
"Australia","13","833.5"
"Australia","13","815.3"
"Australia","13","812.9"
"Australia","13","674.0"
"Australia","13","627.4"
"Australia","13","599.9"
"Australia","13","506.0"
"Australia","13","498.6"
"Australia","13","491.5"
"Australia","13","482.4"
"Australia","13","482.4"
"Australia","13","481.6"
"Australia","13","477.1"
"Australia","13","440.8"
"Australia","13","419.9"
"Australia","13","416.3"
"Australia","13","404.1"
"Australia","13","397.1"
"Australia","13","397.0"
"Australia","13","394.1"
"Australia","13","372.7"
"Australia","13","368.1"
"Australia","13","362.6"
"Australia","13","358.9"
"Australia","13","346.3"
"Australia","13","317.1"
"Australia","13","314.3"
"Australia","13","299.2"
"Australia","13","284.1"
"Australia","13","282.3"
"Australia","13","250.0"
"Australia","13","249.9"
"Australia","13","231.5"
"Spain","14","22,996.1"
"Spain","14","17,734.1"
"Spain","14","4,937.4"
"Spain","14","4,223.1"
"Spain","14","3,186.9"
"Spain","14","3,173.4"
"Spain","14","2,937.5"
"Spain","14","2,099.9"
"Spain","14","1,990.8"
"Spain","14","1,798.5"
"Spain","14","1,775.8"
"Spain","14","1,609.0"
"Spain","14","1,542.7"
"Spain","14","1,425.3"
"Spain","14","1,293.0"
"Spain","14","1,186.1"
"Spain","14","1,018.0"
"Spain","14","833.5"
"Spain","14","815.3"
"Spain","14","812.9"
"Spain","14","674.0"
"Spain","14","627.4"
"Spain","14","599.9"
"Spain","14","506.0"
"Spain","14","498.6"
"Spain","14","491.5"
"Spain","14","482.4"
"Spain","14","482.4"
"Spain","14","481.6"
"Spain","14","477.1"
"Spain","14","440.8"
"Spain","14","419.9"
"Spain","14","416.3"
"Spain","14","404.1"
"Spain","14","397.1"
"Spain","14","397.0"
"Spain","14","394.1"
"Spain","14","372.7"
"Spain","14","368.1"
"Spain","14","362.6"
"Spain","14","358.9"
"Spain","14","346.3"
"Spain","14","317.1"
"Spain","14","314.3"
"Spain","14","299.2"
"Spain","14","284.1"
"Spain","14","282.3"
"Spain","14","250.0"
"Spain","14","249.9"
"Spain","14","231.5"
"Mexico","15","22,996.1"
"Mexico","15","17,734.1"
"Mexico","15","4,937.4"
"Mexico","15","4,223.1"
"Mexico","15","3,186.9"
"Mexico","15","3,173.4"
"Mexico","15","2,937.5"
"Mexico","15","2,099.9"
"Mexico","15","1,990.8"
"Mexico","15","1,798.5"
"Mexico","15","1,775.8"
"Mexico","15","1,609.0"
"Mexico","15","1,542.7"
"Mexico","15","1,425.3"
"Mexico","15","1,293.0"
"Mexico","15","1,186.1"
"Mexico","15","1,018.0"
"Mexico","15","833.5"
"Mexico","15","815.3"
"Mexico","15","812.9"
"Mexico","15","674.0"
"Mexico","15","627.4"
"Mexico","15","599.9"
"Mexico","15","506.0"
"Mexico","15","498.6"
"Mexico","15","491.5"
"Mexico","15","482.4"
"Mexico","15","482.4"
"Mexico","15","481.6"
"Mexico","15","477.1"
